title,level,score,_id
Razor clam to RoboClam: burrowing drag reduction mechanisms and their robotic adaptation,0,1.0,64f44363f23bc4f67afbfdd2
"Controlling subterranean forces enables a fast, steerable, burrowing soft robot",0,1.0,64f44364f23bc4f67afbfdd4
"Design, fabrication and control of a multi-material-multi-actuator soft robot inspired by burrowing worms",0,1.0,64f44364f23bc4f67afbfdd5
Undulatory swimming in sand: experimental and simulation studies of a robotic sandfish,0,1.0,64f44363f23bc4f67afbfdd3
An earthworm-inspired soft robot with perceptive artificial skin,1,0.8,64f443d6f23bc4f67afbfea7
DEM simulations of a bio-inspired site characterization probe with two anchors,1,0.8,64f443d1f23bc4f67afbfe98
Nature's Blueprint in Bioinspired Materials for Robotics,1,0.8,64f443d1f23bc4f67afbfe99
Historical evolution and new trends for soil-intruder interaction modeling,1,0.8,64f443d1f23bc4f67afbfe9a
"Recent advances in biomimetic soft robotics: Fabrication approaches, driven strategies and applications",1,0.8,64f443d5f23bc4f67afbfea0
An earthworm-inspired friction-controlled soft robot capable of bidirectional locomotion,1,0.8,64f443d5f23bc4f67afbfea4
Modeling the self-penetration process of a bio-inspired probe in granular soils,1,0.8,64f443d8f23bc4f67afbfeae
An analysis of peristaltic locomotion for maximizing velocity or minimizing cost of transport of earthworm-like robots,1,0.8,64f443d6f23bc4f67afbfea8
High‐Gain Microfluidic Amplifiers: The Bridge between Microfluidic Controllers and Fluidic Soft Actuators,1,0.8,64f443d0f23bc4f67afbfe95
DEM study of the alteration of the stress state in granular media around a bio-inspired probe,1,0.8,64f443d9f23bc4f67afbfeb1
Quantifying surface topography of biological systems from 3D scans,1,0.8,64f443d9f23bc4f67afbfeb2
Adopting physical artificial intelligence in soft aerial robots,1,0.8,64f443daf23bc4f67afbfeb6
Granular resistive force theory extension for saturated wet sand ground,1,0.8,64f443daf23bc4f67afbfeb7
Flexible and stable carbon nanotube film strain sensors with self-derived integrated electrodes,1,0.8,64f443d1f23bc4f67afbfe96
Earthworm-inspired robotic locomotion in sand: An experimental study with x-ray tomography,1,0.8,64f443d9f23bc4f67afbfeaf
"A Review of Soft Actuator Motion: Actuation, Design, Manufacturing and Applications",1,0.8,64f443d0f23bc4f67afbfe93
Inferring the material properties of granular media for robotic tasks,1,0.8,64f443cbf23bc4f67afbfe7f
An earthworm-like modular soft robot for locomotion in multi-terrain environments,1,0.8,64f443d0f23bc4f67afbfe90
Synthetic growth by self-lubricated photopolymerization and extrusion inspired by plants and fungi,1,0.8,64f443c6f23bc4f67afbfe6f
Multiscale analysis of rotational penetration in shallow dry sand and implications for self-burrowing robot design,1,0.8,64f443c7f23bc4f67afbfe77
Burrowing soft robots break new ground,1,0.8,64f443c8f23bc4f67afbfe7d
Review of snake robots in constrained environments,1,0.8,64f443cbf23bc4f67afbfe7e
How can interfacial phenomena in nature inspire smaller robots,1,0.8,64f443c7f23bc4f67afbfe7a
Locomotor benefits of being a slender and slick sand swimmer,1,0.8,64f443cbf23bc4f67afbfe81
Aerial-aquatic robots capable of crossing the air-water boundary and hitchhiking on surfaces,1,0.8,64f443cff23bc4f67afbfe8f
"Friction modulation in limbless, three-dimensional gaits and heterogeneous terrains",1,0.8,64f443ccf23bc4f67afbfe82
Granular resistive force theory implementation for three-dimensional trajectories,1,0.8,64f443ccf23bc4f67afbfe88
Review on planetary regolith-sampling technology,1,0.8,64f443cff23bc4f67afbfe8b
Touchless interactive teaching of soft robots through flexible bimodal sensory interfaces,1,0.8,64f443cff23bc4f67afbfe8d
Spontaneous and rapid electro-actuated snapping of constrained polyelectrolyte hydrogels,2,0.6,64f449a8f23bc4f67afc0846
Snapping for high-speed and high-efficient butterfly stroke–like soft swimmer,2,0.6,64f449a8f23bc4f67afc0847
2D materials inks toward smart flexible electronics,2,0.6,64f449a8f23bc4f67afc084a
Liquid gating meniscus‐shaped deformable magnetoelastic membranes with self‐driven regulation of gas/liquid release,2,0.6,64f449a8f23bc4f67afc084b
Coherent movement of error-prone individuals through mechanical coupling,2,0.6,64f449abf23bc4f67afc0855
Magnetically actuated gearbox for the wireless control of millimeter-scale robots,2,0.6,64f449abf23bc4f67afc0851
Multicomponent and multifunctional integrated miniature soft robots,2,0.6,64f449abf23bc4f67afc0852
Soft Pocket Pump for Multi‐Medium Transportation via an Active Tubular Diaphragm,2,0.6,64f449acf23bc4f67afc0858
Stretchable and conformable variable stiffness device through an electrorheological fluid,2,0.6,64f449acf23bc4f67afc0857
A bioinspired 3D-printable flexure joint with cellular mechanical metamaterial architecture for soft robotic hands,2,0.6,64f449a4f23bc4f67afc0841
Shaping the future of robotics through materials innovation,2,0.6,64f449a7f23bc4f67afc0842
A Comprehensive Dataset of Grains for Granular Jamming in Soft Robotics: Grip Strength and Shock Absorption,2,0.6,64f449a3f23bc4f67afc0839
A Novel Wearable Pouch-type Pneumatic Artificial Muscle with Contraction and force sensing,2,0.6,64f449a4f23bc4f67afc0840
Characterization of bending balloon actuators,2,0.6,64f449a4f23bc4f67afc083e
Soft Pneumatic Muscles: Revolutionizing Human Assistive Devices with Geometric Design and Intelligent Control,2,0.6,64f449a4f23bc4f67afc083d
Soft pneumatic actuators with integrated resistive sensors enabled by multi-material 3D printing,2,0.6,64f449a4f23bc4f67afc083c
2D Shape Estimation of a Pneumatic‐Driven Soft Finger with a Large Bending Angle Based on Learning from Two Sensing Modalities,2,0.6,64f449a4f23bc4f67afc083b
Towards topology optimization of pressure-driven soft robots,2,0.6,64f449a4f23bc4f67afc083a
Cyber-agricultural systems for crop breeding and sustainable production,2,0.6,64f449a3f23bc4f67afc0836
A review of recent manufacturing technologies for sustainable soft actuators,2,0.6,64f449a2f23bc4f67afc082f
"4D printing of shape memory polymer composites: A review on fabrication techniques, applications, and future perspectives",2,0.6,64f449a2f23bc4f67afc082e
Review of soft fluidic actuators: Classification and materials modeling analysis,2,0.6,64f4499ef23bc4f67afc082d
A Torsion-Bending Antagonistic Bistable Actuator Enables Untethered Crawling and Swimming of Miniature Robots,2,0.6,64f449acf23bc4f67afc085b
Tunable Folding Assembly Strategy for Soft Pneumatic Actuators,2,0.6,64f449acf23bc4f67afc0859
Microelectronic Morphogenesis: Progress towards Artificial Organisms,2,0.6,64f449b7f23bc4f67afc0878
Self‐Driven Droplet Motions Below their Icing Points,2,0.6,64f449acf23bc4f67afc085c
Multi-responsive and programmable actuators made with nacre-inspired graphene oxide-bacterial cellulose film,2,0.6,64f449b7f23bc4f67afc0875
"Fluid-driven artificial muscles: bio-design, manufacturing, sensing, control, and applications",2,0.6,64f449bbf23bc4f67afc0882
Caterpillar-inspired soft crawling robot with distributed programmable thermal actuation,2,0.6,64f449bbf23bc4f67afc0881
Worm‐inspired soft robots enable adaptable pipeline and tunnel inspection,2,0.6,64f449bbf23bc4f67afc0880
Control strategies for soft robot systems,2,0.6,64f449bbf23bc4f67afc087c
Linear contraction of stress fibers generates cell body rotation,2,0.6,64f449b8f23bc4f67afc087b
"Intermediate Encoding Layers for the Generative Design of 2D Soft Robot Actuators: A Comparison of CPPN's, L-Systems and Random Generation",2,0.6,64f449b8f23bc4f67afc087a
"Investigation of Soft Matter Nanomechanics by Atomic Force Microscopy and Optical Tweezers: A Comprehensive Review. Nanomaterials 2023, 13, 963",2,0.6,64f449b8f23bc4f67afc0879
A review of 3D‐printable soft pneumatic actuators and sensors: research challenges and opportunities,2,0.6,64f4499df23bc4f67afc0829
Snakeskin-Inspired 3D Printable Soft Robot Composed of Multi-Modular Vacuum-Powered Actuators,2,0.6,64f449b7f23bc4f67afc0877
Bienzymatic Generation of Interpenetrating Polymer Networked Engineered Living Materials with Shape Changing Properties,2,0.6,64f449b7f23bc4f67afc0876
Micro-/nanoscale robotics for chemical and biological sensing,2,0.6,64f449b7f23bc4f67afc0873
3D-Printed High-Frequency Dielectric Elastomer Actuator toward Insect-Scale Ultrafast Soft Robot,2,0.6,64f449acf23bc4f67afc085d
Investigation of soft matter nanomechanics by atomic force microscopy and optical tweezers: A comprehensive review,2,0.6,64f449b6f23bc4f67afc0871
Autonomous intraluminal navigation of a soft robot using deep-learning-based visual servoing,2,0.6,64f449b3f23bc4f67afc086e
X-ray to MR: the progress of flexible instruments for endovascular navigation,2,0.6,64f449b2f23bc4f67afc086b
A soft robot for peripheral lung cancer diagnosis and therapy,2,0.6,64f449b2f23bc4f67afc086a
"A survey on design, actuation, modeling, and control of continuum robot",2,0.6,64f449b2f23bc4f67afc0867
Collaborative magnetic manipulation via two robotically actuated permanent magnets,2,0.6,64f449b2f23bc4f67afc0866
Patient-specific magnetic catheters for atraumatic autonomous endoscopy,2,0.6,64f449b1f23bc4f67afc0862
Evolutionary design of magnetic soft continuum robots,2,0.6,64f449b1f23bc4f67afc0861
Vibro-impact dynamics of an experimental rig with two-sided constraint and bidirectional drift,2,0.6,64f449adf23bc4f67afc0860
High performance fiber-constrained plasticized PVC gel actuators for soft robotics,2,0.6,64f449adf23bc4f67afc085e
Intelligent soft surgical robots for next‐generation minimally invasive surgery,2,0.6,64f4499ef23bc4f67afc082c
The Fabrication of Gas-driven Bionic Soft Flytrap Blade and Related Feasibility Tests,2,0.6,64f44989f23bc4f67afc0812
Textiles in soft robots: Current progress and future trends,2,0.6,64f4499df23bc4f67afc0827
Thin‐Film‐Shaped Flexible Actuators,2,0.6,64f44974f23bc4f67afc07f6
Locomotion and Obstacle Avoidance of a Worm-like Soft Robot,2,0.6,64f44977f23bc4f67afc0801
Dynamics of magnetoelastic robots in water-saturated granular beds,2,0.6,64f44977f23bc4f67afc0800
Earthworm-inspired multimodal soft actuators,2,0.6,64f44977f23bc4f67afc07ff
Effects of lateral undulation in granular medium burrowing with a peristaltic soft robot,2,0.6,64f44977f23bc4f67afc07fe
Reconfigurable kirigami skins steer a soft robot,2,0.6,64f44977f23bc4f67afc07fd
New topic horizons for drone systems and applications,2,0.6,64f44977f23bc4f67afc07fc
Assistive robotic hand with bi-directional soft actuator for hand impaired patients,2,0.6,64f44977f23bc4f67afc07fb
Quadrolltor: A Reconfigurable Quadrotor with Controlled Rolling and Turning,2,0.6,64f44974f23bc4f67afc07f9
Advanced Bionic Attachment Equipment Inspired by the Attachment Performance of Aquatic Organisms: A Review,2,0.6,64f44974f23bc4f67afc07f8
Design and Theoretical Research on Aerial-Aquatic Vehicles: A Review,2,0.6,64f44974f23bc4f67afc07f7
Bioinspired Synergy Strategies Empower Small‐Scale Robots with Higher Performance,2,0.6,64f44974f23bc4f67afc07f5
A soft thumb-sized vision-based sensor with accurate all-round force perception,2,0.6,64f4499df23bc4f67afc0825
"An Aerial–Wall Robotic Insect That Can Land, Climb, and Take Off from Vertical Surfaces",2,0.6,64f44974f23bc4f67afc07f4
"Recent progress on underwater soft robots: adhesion, grabbing, actuating, and sensing",2,0.6,64f44974f23bc4f67afc07f3
A self-loading suction cup driven by a resonant dielectric elastomer actuator,2,0.6,64f44973f23bc4f67afc07f1
