title,level,score,_id
New Directions: Atmospheric methane removal as a way to mitigate climate change?,0,1.0,64f44362f23bc4f67afbfdc9
Methane removal seen as tool to slow warming,0,1.0,64f44362f23bc4f67afbfdca
Economic analysis of a large scale solar updraft tower power plant,1,0.8,64f4439cf23bc4f67afbfdfc
Can reducing black carbon and methane below RCP2. 6 levels keep global warming below 1.5° C?,1,0.8,64f443a9f23bc4f67afbfe1a
The European transdisciplinary assessment of climate engineering (EuTRACE): Removing greenhouse gases from the atmosphere and reflecting sunlight …,1,0.8,64f443a8f23bc4f67afbfe13
"Negative emissions—Part 2: Costs, potentials and side effects",1,0.8,64f443a7f23bc4f67afbfe0e
Noble-metal-free dye-sensitized selective oxidation of methane to methanol with green light (550 nm),1,0.8,64f443a1f23bc4f67afbfe0a
Advancing scientific understanding of the global methane budget in support of the Paris Agreement,1,0.8,64f443a1f23bc4f67afbfe08
Pd-Promoted Co2NiO4 with lattice CoONi and interfacial PdO activation for highly efficient methane oxidation,1,0.8,64f443a0f23bc4f67afbfe07
Acting rapidly to deploy readily available methane mitigation measures by sector can immediately slow global warming,1,0.8,64f4439ff23bc4f67afbfe00
Energy systems in scenarios at net-zero CO2emissions,1,0.8,64f4439ff23bc4f67afbfdff
Life cycle assessment of carbon dioxide removal technologies: a critical review,1,0.8,64f4439ff23bc4f67afbfdfe
Anaerobic methane oxidation coupled to ferrihydrite reduction by Methanosarcina barkeri,1,0.8,64f443a1f23bc4f67afbfe0c
Numerical analysis of a negative emission technology of methane to mitigate climate change,1,0.8,64f4439cf23bc4f67afbfdfb
The role of future anthropogenic methane emissions in air quality and climate,1,0.8,64f44398f23bc4f67afbfded
A high-performance solar chimney in building integrated with photocatalytic technology for atmospheric methane removal,1,0.8,64f4439cf23bc4f67afbfdfa
Technological avenues and market mechanisms to accelerate methane and nitrous oxide emissions reductions,1,0.8,64f44397f23bc4f67afbfde7
Methane removal and the proportional reductions in surface temperature and ozone,1,0.8,64f44398f23bc4f67afbfde8
Enhancing CH4/N2 separation performance within aluminum-based Metal-Organic Frameworks: Influence of the pore structure and linker polarity,1,0.8,64f44398f23bc4f67afbfdeb
Global temperature goals should determine the time horizons for greenhouse gas emission metrics,1,0.8,64f44398f23bc4f67afbfdea
A methanotrophic bacterium to enable methane removal for climate mitigation,1,0.8,64f44399f23bc4f67afbfdef
Development of a novel methanotrophic platform to produce ectoine from methane and lignocellulose-derived sugars,1,0.8,64f44399f23bc4f67afbfdf2
Changes in soil chemical properties due to long-term compost fertilization regulate methane turnover related gene abundances in rice paddy,1,0.8,64f4439af23bc4f67afbfdf7
"Photocatalytic Conversion of Methane: Current State of the Art, Challenges, and Future Perspectives",1,0.8,64f4439af23bc4f67afbfdf8
The reduction of environmentally abundant iron oxides by the methanogen Methanosarcina barkeri,2,0.6,64f446d6f23bc4f67afc010e
Regulation of acetate tolerance by small ORF-encoded polypeptides modulating efflux pump specificity in Methylomonas sp. DH-1,2,0.6,64f446d1f23bc4f67afc0107
Enhanced anaerobic oxidation of methane with the coexistence of iron oxides and sulfate fertilizer in paddy soil,2,0.6,64f446d6f23bc4f67afc010d
Accelerating anaerobic oxidation of methane coupled with extracellular electron transfer to electrodes via magnetite stimulating membrane-bound proteins of …,2,0.6,64f446d6f23bc4f67afc010c
Reversibility controls on extreme methane clumped isotope signatures from anaerobic oxidation of methane,2,0.6,64f446d5f23bc4f67afc010b
Methylotrophic Betaproteobacterial Clades and their Interactions with Plants,2,0.6,64f446d2f23bc4f67afc010a
"From methane to value-added bioproducts: microbial metabolism, enzymes, and metabolic engineering.",2,0.6,64f446d2f23bc4f67afc0109
Genome Editing in Methanotrophic Bacteria: Potential Targets and Available Tools,2,0.6,64f446d2f23bc4f67afc0108
Nearly 100% selective and visible-light-driven methane conversion to formaldehyde via. single-atom Cu and Wδ+,2,0.6,64f446ccf23bc4f67afc00f5
Comparative genomic analysis ofMethylocystissp. MJC1 as a platform strain for polyhydroxybutyrate biosynthesis,2,0.6,64f446d1f23bc4f67afc0106
Nickel phosphide nanoparticles as a noble-metal-free co-catalyst for the selective photocatalytic aerobic oxidation of CH4 into CO and H2,2,0.6,64f446cdf23bc4f67afc00fa
Unveiling the highly disordered NbO6 units as electron-transfer sites in Nb2O5 photocatalysis with N-hydroxyphthalimide under visible light irradiation,2,0.6,64f446ccf23bc4f67afc00f8
